Iowa Senate
District ID,id,Pop20,DHouseholds,DTotal_Income,DArea,DSumAge,DTotal_Rent,DTotalCom,D20Minus,D20to40,D40to65,D65Plus,D0_25k,D25k_50k,D50k_100k,D100k_200k,D200kPlus,DGINI,DOc,DOcOth,DOc1Det,DOc1Att,DOc2_10,DOc10_50,DOc50_Plus,DWhite,DBlack,DNative,DAsian,DPacific,DOther,DMultiracial,DLatino,DVAP,DWhiteVAP,DBlackVAP,DNativeVAP,DAsianVAP,DPacificVAP,DOtherVAP,DMultiracialVAP,DLatinoVAP,DPop10,D10White,D10Black,D10Native,D10Asian,D10Pacific,D10Other,D10Multiracial,D10Latino,D10PCI,D00PCI,DPop00,D00White,D00Black,D00Native,D00Asian,D00Pacific,D00Other,D00Multiracial,D00Latino,DPop90,D90White,D90Black,D90Native,D90Asian,D90Other,D90Latino,D5_or_older,DEnglishOnly,DLimitedEnglish,DSpanish,DIndoEuropean,DAsianPacific,DOtherLanguage,D25_or_older,DHighschool,DBachelors,DGraduate,DNonInstit,DInsured,DUninsured,DMale,DFemale,DVeteran,DWorker_16_up,DCCar,DCTransit,DCWalk,DCBike,DCOther,DIAgri,DIConst,DIMfg,DIWholesale,DIRetail,DITrans,DIInfo,DIProf,DIEdu,DIArts,DIOther,DIPa,DIArmy,DinState,DoutState,DinCounty,DoutCounty,D16_up,DInLF,DUnemployed,DPopPov,DPoverty,DOHousing,DOwner,DRenter,DA_All,DA_Oth,DA_SouthAsia,DA_China,DA_SEasia,DA_Viet,DA_Filipino,DA_Japan,DA_Korea,DE_All,DE_Oth,DE_Germ,DE_USA,DE_Ire,DE_Brit,DE_Italy,DE_Scand,DE_Dutch,DE_Fr,DE_EastEuro,DE_Portug,DE_Czech,DE_Brazil,DE_Arab,DE_Polish,DE_Iran,DE_Balkan,DE_Hungary,DE_Greek,DF_All,DF_African,DF_Carib,DF_AA,DL_All,DL_Oth,DL_Mex,DL_PR,DL_Cuba,DL_Domin,DL_CA,DL_SA,DL_Spain,DUSBorn,DInStateB,DOutStateB,DForeignBorn,DForeignC,DForeignNC,DStSpouse,DGaySpouse,DStPartner,DGayPartner,DCapitaIncome,G22AgD,G22AgR,G22AgO,G22AgrCD,G22AgrCR,G22AgrCO,G22TreD,G22TreR,G22TreO,G22AudD,G22AudR,G22AudO,G22SosD,G22SosR,G22SosO,G22GovD,G22GovR,G22GovO,G22SenD,G22SenR,G22SenO,G20PreD,G20PreR,G20SenD,G20SenR,G20PreO,G20SenO,G18GovR,G18GovD,G18AgD,G18AgR,G18SosR,G18SosD,G18TreR,G18TreD,G18AudR,G18AudD,G18AgrCR,G18AgrCD,G18GovO,G18AgO,G18SosO,G18TreO,G18AudO,G18AgrCO,G16PreR,G16PreD,G16SenR,G16SenD,G16PreO,G16SenO,G16PrePCli,G16PrePSan,G16PrePO,G16PrePAll,G14AgR,G14AgD,G14AgO,G14AgrCR,G14AgrCD,G14AgrCO,G14TreR,G14TreD,G14TreO,G14AudR,G14AudD,G14AudO,G14SosR,G14SosD,G14SosO,G14GovR,G14GovD,G14GovO,G14SenR,G14SenD,G14SenO,G12PreR,G12PreD,G12PreO,G24GuessD,G24GuessR,G28GuessD,G28GuessR,DNonVet,GBuildD,GBuildR
1,1,63991,23601,1701089335,286994,2287335,20690331,541928,19445,17195,18741,8626,4978,5234,7537,5021,649,25456,25331,980,17834,375,2853,2055,826,41204,4197,2066,2408,456,6818,6844,15187,46839,32312,2709,1347,1890,269,4414,3895,9225,62470,48295,2101,1847,1983,89,5550,2542,12097,1556359797,1869527355,63723,52465,1608,1325,1934,26,3783,1369,7994,59343,53930,1504,1266,907,985,1979,59228,45458,6253,9984,620,1986,1001,39919,33388,8307,2351,63358,58369,4872,31852,32139,2897,30958,29829,325,389,8,70,356,2373,6294,744,3713,1179,1460,1991,6410,3304,1441,834,27,24583,6358,23141,7836,48043,33072,2093,62498,9683,23601,15055,8550,3136,283,42,49,866,1369,173,14,52,15509,438,6569,2200,1801,1006,37,1266,328,206,26,2,35,0,94,165,0,2,25,90,19399,1067,3,18306,14853,301,11648,254,146,0,2126,121,4,55775,39731,15285,8218,3821,4259,10160,30,2171,15,1740410651,6740,7213,0,5583,8336,0,6503,7453,0,6840,7120,0,5782,8241,0,5356,8470,246,6023,8094,4,11404,12082,11333,11141,403,952,9294,9069,12341,3660,8897,9027,7722,10019,7429,10338,8616,9009,320,85,348,347,396,561,11695,10220,13109,8852,1600,1122,1035,1269,0,2273,7309,8209,2,8704,5831,766,7945,7166,277,8273,6809,2,7169,7453,845,9580,5967,411,8089,7087,898,10396,13708,426,11364,12120,11404,12081,0,0,0
2,2,63661,23056,1987557417,4577737,2391791,20107524,502416,19513,15193,18275,10633,2779,4202,8849,5737,843,24277,24647,559,19919,535,1670,786,84,56023,551,308,340,137,3003,3300,6524,46116,41662,305,204,261,90,1833,1759,3753,60296,57076,194,141,370,6,1894,542,3805,1654956190,1592937336,57714,56438,118,70,224,13,467,287,1073,55215,54777,54,45,255,38,91,59328,54912,1572,3290,198,47,280,39432,36680,10741,2655,63258,59537,3385,32066,31595,2594,33438,31914,24,528,43,115,2633,2191,5717,640,2867,1163,1584,1582,8508,1515,1180,435,13,31360,1586,26953,6368,48293,34539,732,61184,3243,23056,18220,4698,321,0,96,24,41,2,15,79,4,29684,302,9065,1716,532,491,22,500,14952,27,13,1,15,0,4,1,0,19,0,1,5605,4,0,5571,5225,160,3691,11,0,27,779,4,23,60910,42228,18013,2751,898,1640,14422,4,553,0,2034333656,4334,19724,0,2805,21421,0,4346,19666,0,4723,19324,0,3233,21025,0,2845,21762,97,3624,20975,0,6282,27297,6165,27009,451,387,21610,4456,12190,5399,21057,4245,19477,5499,19575,5468,20966,4146,147,55,164,199,220,248,25383,5008,27059,3874,1759,543,324,373,2,961,18489,3910,0,19631,2272,165,18330,3780,161,18622,3035,0,17568,3843,546,20248,2500,178,19059,3375,396,24272,6630,238,6549,27028,6495,27083,0,0,0
3,3,63782,25713,1896055347,5781659,2556913,18360046,531304,17326,14470,19669,12145,4677,6456,8254,5073,465,26194,28824,278,22535,255,2641,1567,192,51770,946,314,2160,686,3904,4002,8616,48595,40874,628,220,1483,420,2596,2373,5418,63757,58065,748,139,1369,115,2499,755,6215,1825942934,1841079346,65508,62143,174,76,1106,10,1342,455,3154,66172,65306,80,89,517,65,263,60104,51541,3845,5490,20,2013,238,42890,38173,9225,2350,63033,59573,3139,32531,31251,3241,31168,29355,113,962,23,19,1916,1543,6053,661,3514,1077,1221,972,7202,1145,924,466,0,30578,315,24220,6694,50345,33549,1770,62154,7159,25713,18489,7220,2618,528,0,1,1593,128,20,112,111,20785,276,9979,1817,789,738,47,1928,2226,64,6,2,43,7,0,64,0,0,0,0,10178,306,0,9719,7526,23,5645,326,157,2,854,5,214,58783,44534,13182,4999,1890,2913,12663,9,1251,19,1941413777,6811,14137,0,4000,17104,0,6793,14074,0,7000,13849,0,4791,16227,0,4384,16742,192,5299,15886,0,8937,21789,9322,20542,334,752,16040,7853,14758,4230,16403,6731,13590,9376,14075,9001,16624,6588,241,10,241,258,237,320,20925,7954,22518,6552,1716,860,760,828,7,1785,12633,8521,0,16754,3919,381,12470,8004,444,14730,5539,0,12898,7142,733,16581,4887,398,14589,6315,914,18670,11442,313,9128,21598,9031,21696,0,0,0
4,4,63818,26701,1954566216,6313955,2630996,17941222,566092,15678,15180,19570,12993,5376,5851,9128,4688,465,26953,30574,541,25043,216,2043,976,230,57195,2089,232,389,56,1096,2761,3007,50097,45665,1669,192,299,37,728,1507,1836,65182,61710,1532,146,289,22,549,892,1886,1818386127,1995682725,70516,67335,1429,140,280,10,503,552,1124,72159,70676,874,107,176,158,512,60425,57736,487,1052,514,196,107,43898,40574,8381,1844,61370,57824,3068,32863,30955,3510,29294,27651,85,571,7,293,1790,1575,4123,500,3220,1426,1143,872,6867,1442,933,695,14,29105,116,22407,6913,51625,31248,1267,60330,7059,26701,19561,6950,466,0,93,100,13,4,22,2,199,20219,471,9581,1692,1592,1043,118,2453,55,31,47,0,106,0,6,37,0,1,0,0,5617,80,19,5487,2483,170,1560,173,0,24,174,10,159,62803,50727,11224,1015,180,723,12007,2,1823,14,1986048513,8867,13560,0,5650,16798,0,8913,13508,0,8955,13442,0,6157,16346,0,5928,16450,213,6840,15713,0,10403,21512,10818,20196,249,899,15492,9810,17247,4963,15624,8971,11870,12786,13447,11029,15522,9047,276,20,310,230,359,412,19927,9934,21699,8347,1706,1016,1269,988,9,2599,9824,13375,0,16297,5885,701,10155,12100,451,13440,8641,0,11553,10041,1072,15332,7286,1064,13919,8560,1070,16852,15419,318,9795,22120,8935,22980,,,
5,5,63895,27440,2109643003,7558454,2733893,20685471,535021,15508,13368,19929,14822,4383,6114,9607,5461,627,25758,36438,1173,29252,392,2766,1400,179,59416,524,140,331,16,1111,2357,2827,50547,47652,393,108,269,9,737,1381,1696,65048,63053,260,144,291,16,634,592,1678,2041562666,2031180356,68278,67127,91,122,215,5,309,271,967,69240,68733,65,58,182,103,271,60806,58186,871,1228,152,275,42,45131,42322,10607,2223,63288,60558,2321,32279,31616,3731,32013,29873,15,646,71,107,1687,1963,5398,618,3321,1191,1386,1404,6605,1671,1093,432,0,30462,1255,24278,7401,51935,33521,900,62057,5416,27440,21312,5873,454,0,83,11,37,3,260,0,9,24548,192,12762,1795,1243,800,119,4150,445,67,5,0,80,0,14,14,0,9,1,3,3816,26,4,3702,2387,30,1448,91,96,0,322,32,1,62534,45728,16013,1361,485,753,13244,7,1405,2,2145028717,9506,17438,0,6039,21033,0,9634,17322,0,9390,17510,0,7209,19821,0,6784,20092,309,8011,19209,0,11846,25072,12641,23465,336,885,18263,10607,18582,5805,18415,9806,15065,13059,16775,11317,19399,9069,308,55,277,307,310,307,23034,10574,25165,8774,1823,1075,1184,993,8,2454,12820,12530,0,19146,5671,588,12178,12268,510,15766,8703,2,13739,10168,992,18586,7098,404,15454,9319,1164,19713,15557,323,11537,25381,11004,25913,0,0,0
6,6,63807,26193,1977798721,7303187,2616695,18334212,528941,16565,14164,19912,12998,4765,5884,8522,5370,398,27173,29010,429,24401,294,1539,956,146,55874,768,271,472,20,3213,3188,6326,48448,43592,480,196,350,10,1941,1879,3721,65002,61013,350,131,284,21,2552,625,4835,1839070862,1901622714,67155,65408,171,92,180,3,803,247,1657,67369,66959,60,55,145,42,200,60372,54341,2391,4339,54,375,474,43510,39400,8814,1643,63286,59800,3182,31835,31972,3179,31563,30320,11,426,0,34,2518,1790,5017,584,3057,1363,1492,1077,7112,882,852,431,0,30985,340,25089,6205,50655,33424,1346,63252,7132,26193,19816,6322,518,165,16,17,121,0,65,1,49,25468,230,16695,2167,726,720,33,2015,39,8,10,1,37,3,0,6,0,0,0,4,7419,522,0,6856,5753,101,3788,16,3,0,1320,6,0,60637,46899,13061,3170,966,2109,13190,3,1174,0,2038096493,8175,14434,0,5051,17479,0,7842,14604,0,7476,15048,0,5448,17177,0,5101,17843,154,6233,16753,0,9997,23223,10335,21812,213,724,17134,8352,15898,4395,16793,7329,13015,11052,14910,9138,16171,7852,203,15,273,238,271,369,21090,9141,22313,7600,1509,856,1019,713,15,2241,10504,11104,0,15866,4796,496,10431,10171,367,13448,6814,2,11695,8222,802,16257,5979,498,14266,7431,797,17785,13922,140,9569,23651,8811,24409,0,0,0
7,7,63700,25670,2230634429,5595987,2563908,22407101,622001,16802,14566,20046,12156,3831,4865,8286,6879,1093,25298,27831,637,23063,762,1224,1014,339,56015,1083,630,656,239,1499,3575,4156,48260,43410,684,399,533,160,1040,2038,2550,61868,58748,376,526,471,30,741,906,2118,1908770219,1919605411,62401,60333,240,265,339,14,466,441,1116,60238,59365,134,197,207,164,453,60072,55600,1803,3077,340,241,180,43139,40623,10582,3012,63352,60464,2624,32332,31368,3590,32398,31299,66,510,0,20,1835,1856,4478,546,3526,1139,1810,1320,7707,2188,1301,1241,53,28943,3262,24219,8216,50374,34260,1484,62584,5682,25670,19793,5727,565,6,2,48,43,29,75,46,41,23166,790,11179,2112,1752,1583,53,1785,448,143,34,1,115,15,218,152,0,3,0,15,6475,423,0,6025,4173,61,3170,111,48,44,408,30,28,61774,47689,13559,1926,772,1062,13523,18,1423,9,2252427624,7737,15201,0,5348,17516,0,7503,15370,0,8128,14723,4,5824,17139,0,5225,17725,191,6314,16882,10,10475,22914,10598,21894,481,951,17445,8583,15342,5832,16875,8498,14555,10691,14019,11264,16557,8583,326,98,270,301,417,480,21779,8738,23341,7331,1661,1025,944,780,3,1950,13097,9339,0,16335,5032,846,14260,7780,301,14915,6859,0,12771,8518,991,17323,5480,398,14961,7061,1188,18917,13036,450,10975,22418,11200,22192,0,0,0
8,8,63575,24307,2253410949,6433422,2596648,24354442,763410,16732,13253,21009,12339,3024,3815,8511,6663,1254,25095,27002,459,23217,226,1288,491,204,59969,215,151,230,28,497,2489,1728,48540,46151,139,120,174,17,347,1592,1000,64397,62857,201,148,199,12,294,560,1185,2098169321,1961569953,61209,60202,85,96,118,6,154,314,526,57206,56857,40,50,93,43,200,60295,58948,220,412,141,34,13,43693,41373,11597,3004,62914,61006,1615,32176,31399,4171,30751,29510,19,645,9,79,1039,2440,2326,695,3089,2075,2402,1576,7561,1203,1009,1033,89,20936,9837,16357,14546,49999,32381,996,62705,3902,24307,19408,4698,394,5,1,18,36,2,137,1,143,24960,761,10619,2540,2492,2967,252,1933,271,28,47,0,256,8,5,74,5,6,26,2,4330,8,0,4288,1257,40,863,18,29,0,63,3,0,63069,32534,29756,506,202,202,14212,20,966,30,2310937159,7940,17609,0,6898,18635,2,8089,17361,2,7536,17897,2,7261,18432,0,6862,18737,335,7741,18154,6,11760,25394,11928,24106,464,1153,18420,9505,15301,7273,18637,8636,16963,10159,17957,8973,17913,9050,440,154,497,526,594,715,22886,9703,23997,7965,1990,1633,902,925,2,2065,13768,8285,6,15740,5075,1044,13274,7752,804,15487,6212,0,13831,6833,1344,16223,5424,1237,15077,6842,840,20064,13187,388,11857,25296,11613,25543,0,0,0
9,9,63507,26436,1864766011,8444297,2682975,18495891,523939,15621,13643,20173,13978,5424,6201,8746,4062,288,27330,30854,359,25414,109,2660,805,125,59230,551,200,279,92,780,2376,2030,49555,46607,480,164,221,57,534,1493,1230,66550,64250,530,214,279,60,550,611,1668,1734503582,1850087832,69070,67605,324,147,139,8,268,286,763,70103,69543,90,79,149,97,325,60541,58786,373,691,40,110,29,44624,40992,8531,1689,62233,58800,2905,32255,31252,3832,29001,27311,11,895,2,70,1743,983,4525,225,3641,771,773,608,6818,1117,749,444,0,27962,516,22660,6654,51287,31216,1652,61964,7460,26436,19379,6803,445,1,10,11,8,14,66,145,22,20844,164,6260,2632,1739,3401,101,2104,209,70,6,0,79,3,2,11,0,0,0,0,6627,4,0,6582,1804,76,1231,14,7,1,115,41,0,62852,43331,18958,655,77,456,12662,21,955,12,1910730515,7931,15596,0,5703,17695,0,8072,15340,0,7811,15597,0,5993,17537,0,5750,17651,217,6703,16921,0,9765,23376,9752,22520,201,646,16980,8706,16177,5088,17549,7419,14548,10415,15949,8862,16573,8067,168,10,170,146,215,372,21470,8875,23076,7219,1611,891,807,715,0,2217,12253,10383,0,16778,4838,485,12222,9378,323,15424,6451,0,13458,7693,683,16506,5904,564,15653,6703,554,18195,13548,220,9434,23707,8974,24168,0,0,0
10,10,63666,25691,1794490744,108573,2486617,23923575,597002,16507,16538,20218,10422,5205,6206,8683,4870,643,25503,27777,1737,19378,499,2820,2163,954,53039,1778,569,651,70,3136,4420,6809,48858,41876,1279,378,530,39,2063,2693,4177,63905,57946,1162,375,450,25,2400,1511,5595,1652654075,1766959580,61284,58133,577,260,318,15,1035,749,2593,57726,56442,405,182,195,369,1306,59562,54600,2005,4255,251,276,34,43091,37650,8315,2721,63092,58982,4069,31297,32369,4437,30735,29588,152,380,25,429,284,2243,3169,778,4137,2294,2563,2575,6888,3263,1347,910,24,17628,13095,17027,13698,50748,32716,2278,62099,8402,25691,16585,9111,978,6,192,192,65,10,213,172,45,24949,551,10327,3102,3231,3692,424,1891,106,113,63,0,380,0,1,436,6,32,15,62,8796,158,0,8633,6955,207,5972,200,66,0,206,185,0,60429,31248,28534,3237,1510,1706,10199,105,2034,47,1845890687,7309,8540,0,6827,8922,0,7215,8575,2,7063,8665,8,6877,8977,2,6647,8990,337,7121,8819,4,12464,13955,12430,12872,676,1372,9960,9542,12483,4612,10019,9188,9340,9645,9900,9035,9619,9337,675,136,668,698,826,852,13251,10526,13990,8971,2005,2086,1108,1217,0,2244,7187,7229,7,7787,5488,1220,7057,6588,870,8183,6078,11,7127,6300,1192,8472,5404,1094,7520,6431,1009,11459,13566,590,12630,13790,12883,13534,0,0,0
