ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,62607,43218,12200,3110,2340,2638,163,62457,39411,14174,4498,3065,2558,353,63991,37577,15243,5541,2810,3312,533,62479,38601,14746,4828,2773,2436,393,64746,38712,15985,4808,2908,2702,838,45418,34078,6854,1712,1576,1522,92,42335,31425,6063,1882,1701,1182,110,46885,30312,9264,3232,2090,2023,306,46885,30312,9264,2657,1875,1033,267,191,1286,41539,30679,5932,1932,1529,1185,94,43062,31269,6571,1913,1376,1228,449,24793,13319,11004,24119,13694,10425,23434,10196,11657,23015,8822,13086,18736,9027,9280,16123,12309,0,21653,9961,11064,23937,11383,12058,23418,11324,11147
2,2,60512,55626,3839,392,483,299,33,61550,55275,4881,536,578,513,167,63661,54827,6534,906,554,733,167,61707,55056,5027,728,521,536,124,63225,55795,5493,954,472,613,185,44310,41545,2195,166,293,168,15,43167,41221,1250,218,274,133,25,46111,41055,3756,428,340,442,110,46111,41055,3756,299,259,93,87,47,515,43308,41121,1440,253,278,191,25,44613,41934,1712,450,274,227,4,30457,7473,22365,30801,6528,24273,32194,5015,25413,31663,3880,27091,26395,4453,21634,17774,12214,0,30481,5017,25017,34172,6284,27316,33806,6152,27031
3,3,63910,54908,6252,966,1550,307,159,61844,50747,6761,1344,2557,286,375,63782,49877,8610,1310,2430,902,730,61796,50065,7006,1386,2730,323,364,63698,50392,7950,1402,2781,384,463,48947,43513,3670,526,1056,210,97,43951,40127,2060,693,779,247,56,48583,39783,5416,744,1585,577,444,48583,39783,5416,608,1465,96,414,92,709,43868,39785,2428,680,705,256,63,45303,40290,3108,546,937,219,208,30840,12957,17048,29920,11325,18595,30506,7927,20881,29949,6531,22463,24314,7839,16021,19086,14736,0,28196,8010,19670,31204,8917,21774,30713,9316,20520
4,4,65344,60755,1897,2012,419,361,67,62889,56646,2596,2577,727,445,81,63818,56177,3007,2978,629,982,130,62440,55785,2784,2693,699,583,52,63718,56255,3089,2944,741,691,134,50979,48137,1093,1279,267,250,32,48501,45041,1065,1554,488,365,4,50097,45051,1836,1986,409,677,87,50097,45051,1836,1636,290,142,34,104,1004,48114,44535,1146,1625,455,347,4,49085,45180,1395,1714,418,345,0,33242,16283,15903,32216,15406,16810,31666,9936,19929,31232,8349,21699,25894,9811,15493,22352,17246,0,29473,9788,19091,32438,10405,21514,32112,10819,20198
5,5,65335,62510,1708,455,447,325,34,63455,59023,2591,1115,572,387,13,63895,58629,2832,868,552,734,84,63033,58374,2592,1084,620,333,24,63605,57842,2879,1196,862,336,69,51152,49535,965,233,261,195,18,49213,47100,1135,467,266,271,0,50559,47233,1697,536,355,491,40,50559,47233,1697,377,265,66,9,73,839,48949,46685,1098,601,282,270,0,49390,46934,1269,571,343,252,14,36784,18081,17582,35360,15587,19773,35584,10589,23062,35283,8795,25202,29467,10615,18273,24581,18599,0,33667,10735,22328,37508,11860,25094,37225,12644,23477
6,6,65262,59273,4848,543,376,339,39,63268,55635,5862,905,603,467,92,63807,54851,6327,1086,650,890,78,62806,54410,5981,1336,669,492,92,63472,54289,6291,1348,653,525,328,49201,45796,2764,257,224,197,33,45828,43313,1571,391,262,285,23,48451,43060,3721,598,432,597,39,48451,43060,3721,472,340,72,9,59,718,45881,42641,1862,786,303,313,24,46799,42776,2566,659,289,282,0,32585,15559,15968,31854,14022,17832,31926,9149,21079,31054,7598,22313,25939,8359,17124,20418,15892,0,29844,8859,20499,33709,10007,23213,33196,10341,21816
7,7,61980,57807,2058,752,675,834,71,62256,55823,3654,1489,540,872,213,63700,54897,4091,1872,992,1573,307,62230,55509,3540,1480,831,755,241,62781,54605,3896,2226,1043,755,107,46621,44352,1110,325,412,449,34,46694,43467,1804,633,211,518,60,48219,42781,2509,999,680,999,195,48219,42781,2509,691,527,328,157,100,1126,47056,43635,1820,770,359,482,60,47012,43263,1852,1138,469,495,20,32376,13529,18095,31939,13066,18873,32309,8771,21804,31884,7360,23355,26588,8635,17447,21463,15353,0,30519,9009,20856,34019,10507,22915,33589,10628,21880
8,8,64050,61824,1184,344,323,426,50,63840,61005,1380,509,530,494,103,63575,59437,1689,492,458,1017,83,64480,61286,1468,692,551,520,58,64346,60240,1871,791,684,711,43,48654,47414,636,158,185,275,22,48352,46872,694,177,249,307,4,48469,45846,963,204,309,737,51,48469,45846,963,111,177,87,17,102,1166,48649,46799,785,234,400,321,20,48335,46456,779,281,320,355,8,34378,14376,19098,32798,13001,19797,34851,9672,23069,33931,7946,24202,28737,9500,18596,22995,15343,0,33223,9982,22390,38046,11758,25614,37555,11923,24323
9,9,67099,63822,1701,739,400,483,91,64080,59842,2280,660,737,693,100,63507,58590,2033,928,545,1124,144,63711,59222,2370,818,740,696,81,63542,58596,2164,975,519,1251,89,51756,49809,965,414,240,315,58,49198,47301,803,366,324,425,30,49570,46248,1231,636,337,845,82,49570,46248,1231,476,212,131,54,59,1159,49231,46912,1058,475,289,460,29,49252,46667,1058,417,147,810,29,33690,14757,17664,31531,13402,18129,32185,8882,21486,31571,7216,23097,26216,8705,16981,21421,16186,0,29797,8609,20702,33666,9762,23369,33325,9750,22532
